date	amount
1958	0.10
1959	0.20
1960	0.50
1961	0.90
1962	1.18
1963	2.29
1964	3.52
1965	4.31
1966	4.41
1967	3.45
1968	2.65
1969	2.31
1970	1.92
1971	1.61
1972	1.48
1973	1.35
1974	1.21
1975	0.98
1976	0.99
1977	0.98
1978	0.91
1979	0.87
1980	0.84
1981	0.82
1982	0.83
1983	0.85
1984	0.83
1985	0.77
1986	0.75
1987	0.76
1988	0.85
1989	0.96
1990	0.99
1991	1.05
1992	1.01
1993	1.01
1994	0.94
1995	0.88
1996	0.89
1997	0.90
1998	0.86
1999	0.80
2000	0.75
2001	0.76
2002	0.72
2003	0.68
2004	0.66
2005	0.63
2006	0.57
2007	0.58
2008	0.60
2009	0.57
2010	0.52
2011	0.53
2012	0.48
